ranking,vElf #,background,skin,eyes,mouth,clothes,hair,headwear,Rarity
1786,2729,Light Purple,Yellow,Pink Eyes,Confused,Green Brassiere,Pink Short Tiedback,No Headwear,COMMON
1787,5921,Light Turquoise,Peach,Pink Eyes,Stuck Out Tongue,Blue Halterneck,Brown Spacebuns,No Headwear,COMMON
1788,2463,Light Purple,Peach,Pink Eyes,Black Mask,Red Asymmetric Dress,White Braid,No Headwear,COMMON
1789,3579,Light Purple,Peach,Crying Eyes,Stuck Out Tongue,Red Asymmetric Dress,Black Wavy,No Headwear,COMMON
1790,7245,Light Yellow,Yellow,Pink Eyes,Confused,Red Cami,Red Pullback,No Headwear,COMMON
1791,6526,VeSea,Blue,Blue Sleepy Eyes,Pink Plump Lips,Blue Halterneck,Red Braid,No Headwear,COMMON
1792,260,Purple Clouds,Green,Crying Eyes,Confused,Red Dress,Brown Wavy,No Headwear,COMMON
1793,1366,Purple Clouds,Green,VeChain Visor,Slightly Open,Red Dress,Black Straight,No Headwear,COMMON
1794,7668,Greyish Blue,Peach,Grey Dewy Eyes,Small Smile,Checkered Brassiere,Red Wavy,No Headwear,COMMON
1795,793,Light Turquoise,Peach,Fiery Eyes,Big Grin,Blue Brassiere,Red Pullback,No Headwear,COMMON
1796,4902,Purple Clouds,Yellow,Fiery Eyes,Gritting Teeth,Red Dress,Black White Straight,No Headwear,COMMON
1797,2233,Graveyard,Blue,Pink Eyes,Gritting Teeth,Red Asymmetric Dress,Black Straight,No Headwear,COMMON
1798,6910,Light Purple,Green,Blue Sleepy Eyes,Small Smile,Red Dress,Red Pullback,No Headwear,COMMON
1799,6578,Light Purple,Blue,Fiery Eyes,Slightly Open,Checkered Brassiere,Brown Wavy,No Headwear,COMMON
1800,1471,Purple Clouds,Brown,Pink Eyes,Gritting Teeth,Red Dress,Brown Spacebuns,No Headwear,COMMON
1801,5970,Aftermath,Yellow,Deal With It,Small Smile,Blue Halterneck,Black Straight,No Headwear,COMMON
1802,6532,VeSea,Green,Blue Angry Eyes,Shocked,Red Dress,Brown Straight Bob,No Headwear,COMMON
1803,7229,Light Pink,Peach,VeChain Visor,Pink Plump Lips,Blue Halterneck,Red Pullback,No Headwear,COMMON
1804,1169,Light Purple,Green,Blue Angry Eyes,Big Grin,Blue Halterneck,Red Straight,No Headwear,COMMON
1805,5815,Light Orange,Green,Grey Dewy Eyes,Gritting Teeth,Blue Halterneck,Black Wavy,No Headwear,COMMON
1806,5032,Greyish Blue,Blue,3D Glasses,Gritting Teeth,Red Dress,Pink Short Tiedback,No Headwear,COMMON
1807,727,Aftermath,Green,Pink Eyes,Pink Plump Lips,White Cape,Red Pullback,No Headwear,COMMON
1808,5435,VeSea,Brown,Diamond Eyes,Pink Plump Lips,Blue Halterneck,Red Braid,No Headwear,COMMON
1809,4981,Greyish Blue,Blue,Fiery Eyes,Pink Plump Lips,Black Cape,Red Straight,No Headwear,COMMON
1810,7614,Light Yellow,Green,VeChain Visor,Confused,Blue Halterneck,Black Straight Bob,No Headwear,COMMON
1811,538,Greyish Blue,Blue,Fiery Eyes,Shocked,Blue Brassiere,Black Wavy,No Headwear,COMMON
1812,2586,VeSea,Brown,3D Glasses,Confused,Blue Brassiere,Red Pullback,No Headwear,COMMON
1813,5573,Greyish Blue,Green,Pink Eyes,Gritting Teeth,Red Dress,Layered Purple,No Headwear,COMMON
1814,3583,Purple Clouds,Yellow,Crying Eyes,Black Mask,Blue Halterneck,Black White Straight,No Headwear,COMMON
1815,3174,Light Yellow,Brown,Fiery Eyes,Confused,Checkered Brassiere,Brown Spacebuns,No Headwear,COMMON
1816,849,Light Green,Green,Crying Eyes,Big Grin,Blue Halterneck,Red Pullback,No Headwear,COMMON
1817,755,Rainbow,Peach,Deal With It,Shocked,Blue Halterneck,White Braid,No Headwear,COMMON
1818,6292,Greyish Blue,Yellow,Bug Eyes,Confused,Blue Halterneck,Red Wavy,No Headwear,COMMON
1819,4108,Purple Clouds,Brown,3D Glasses,Shocked,Red Cami,Red Pullback,No Headwear,COMMON
1820,1568,Rainbow,Peach,3D Glasses,Kissy Lips,Checkered Brassiere,Black Straight Bob,No Headwear,COMMON
1821,7443,Greyish Blue,Brown,Deal With It,Shocked,Checkered Brassiere,Red Pullback,No Headwear,COMMON
1822,5341,Forest,Green,Fiery Eyes,Confused,Red Dress,Pink Short Tiedback,No Headwear,COMMON
1823,6865,Light Yellow,Yellow,Blue Angry Eyes,Shocked,Blue Halterneck,Brown Wavy,No Headwear,COMMON
1824,53,Greyish Blue,Green,Blue Angry Eyes,Shocked,Blue Halterneck,White Braid,No Headwear,COMMON
1825,5121,VeSea,Brown,3D Glasses,Kissy Lips,Red Asymmetric Dress,Brown Spacebuns,No Headwear,COMMON
1826,1006,Greyish Blue,Blue,Pink Eyes,Black Mask,Battle Armor,Red Pullback,No Headwear,COMMON
1827,5289,Light Yellow,Blue,3D Glasses,Slightly Open,Red Asymmetric Dress,Black Wavy,No Headwear,COMMON
1828,6342,Rainbow,Peach,Heart Eyes,Gritting Teeth,Red Dress,Red Pullback,No Headwear,COMMON
1829,4446,Light Red,Blue,Pink Eyes,Shocked,Blue Halterneck,Red Braid,No Headwear,COMMON
1830,5230,Light Yellow,Green,Deal With It,Stuck Out Tongue,Blue Halterneck,Red Wavy,No Headwear,COMMON
1831,6430,Rainbow,Brown,3D Glasses,Pink Thin Lips,Red Dress,Red Straight,No Headwear,COMMON
1832,1035,Light Orange,Yellow,Crying Eyes,Kissy Lips,Red Dress,Black Wavy,No Headwear,COMMON
1833,6452,Graveyard,Brown,Pink Eyes,Pink Plump Lips,Red Dress,Black Straight Bob,No Headwear,COMMON
1834,4094,Light Turquoise,Peach,Grey Dewy Eyes,Big Grin,Red Asymmetric Dress,Pink Short Tiedback,No Headwear,COMMON
1835,7023,Rainbow,Blue,Grey Dewy Eyes,Kissy Lips,Checkered Brassiere,Black Straight Bob,No Headwear,COMMON
1836,3060,VeSea,Yellow,Deal With It,Big Grin,Red Dress,Black Wavy,No Headwear,COMMON
1837,5666,Aftermath,Yellow,Pink Eyes,Upset,Checkered Brassiere,Brown Wavy,No Headwear,COMMON
1838,5523,VeSea,Brown,Pink Eyes,Slightly Open,Red Cami,Red Wavy,No Headwear,COMMON
1839,6571,Greyish Blue,Brown,Crying Eyes,Shocked,Red Asymmetric Dress,Red Straight,No Headwear,COMMON
1840,3264,Light Purple,Brown,Grey Dewy Eyes,Upset,Red Dress,Brown Spacebuns,No Headwear,COMMON
1841,5499,Light Purple,Peach,Grey Dewy Eyes,Big Grin,Red Asymmetric Dress,Black White Straight,No Headwear,COMMON
1842,6118,Greyish Blue,Blue,Fiery Eyes,Black Mask,Black Plunge Dress,Black Straight,No Headwear,COMMON
1843,2282,Rainbow,Yellow,VeChain Visor,Pink Plump Lips,Black Plunge Dress,Red Pullback,No Headwear,COMMON
1844,5723,Greyish Blue,Green,Crying Eyes,Stuck Out Tongue,Blue Halterneck,Pixie Cut,No Headwear,COMMON
1845,1987,Purple Clouds,Green,3D Glasses,Pink Thin Lips,Blue Halterneck,Layered Purple,No Headwear,COMMON
1846,6700,Up Only,Brown,3D Glasses,Upset,Blue Halterneck,Red Pullback,No Headwear,COMMON
1847,3337,Greyish Blue,Green,Green Angry Eyes,Big Grin,Red Dress,Black Straight,No Headwear,COMMON
1848,5698,VeSea,Peach,Pink Eyes,Kissy Lips,Black Cape,Brown Spacebuns,No Headwear,COMMON
1849,7416,Light Orange,Peach,Pink Eyes,Small Smile,Red Dress,Black Pullback,No Headwear,COMMON
1850,3948,Light Red,Brown,Fiery Eyes,Slightly Open,Blue Halterneck,Black Wavy,No Headwear,COMMON
1851,5940,Light Yellow,Peach,Fiery Eyes,Upset,Blue Brassiere,Red Wavy,No Headwear,COMMON
1852,544,Light Orange,Brown,Pink Eyes,Shocked,Checkered Brassiere,Pink Short Tiedback,No Headwear,COMMON
1853,1693,Purple Clouds,Yellow,Pink Eyes,Big Grin,Blue Halterneck,Blue Wavy Bob,No Headwear,COMMON
1854,4625,Light Purple,Brown,Blue Sleepy Eyes,Big Grin,Red Dress,Black Wavy,No Headwear,COMMON
1855,6489,Light Yellow,Brown,Blue Angry Eyes,Confused,Green Brassiere,Red Pullback,No Headwear,COMMON
1856,291,Aftermath,Blue,Fiery Eyes,Slightly Open,Checkered Brassiere,Brown Spacebuns,No Headwear,COMMON
1857,4968,Purple Clouds,Brown,Grey Dewy Eyes,Stuck Out Tongue,Red Dress,Brown Wavy,No Headwear,COMMON
1858,6822,Light Purple,Peach,Green Slanted Eyes,Pink Plump Lips,Blue Halterneck,Brown Straight Bob,No Headwear,COMMON
1859,4708,Forest,Green,Fiery Eyes,Shocked,Blue Halterneck,Black White Straight,No Headwear,COMMON
1860,4338,Aftermath,Yellow,Grey Dewy Eyes,Upset,Checkered Brassiere,Black Wavy,No Headwear,COMMON
1861,3406,VeSea,Blue,VeChain Visor,Small Smile,Red Dress,Brown Wavy,No Headwear,COMMON
1862,6127,Light Blue,Peach,Fiery Eyes,Confused,Checkered Brassiere,Brown Straight Bob,No Headwear,COMMON
1863,4333,Purple Clouds,Blue,Crying Eyes,Gritting Teeth,Checkered Brassiere,Black Wavy,No Headwear,COMMON
1864,5272,Rainbow,Yellow,Grey Dewy Eyes,Kissy Lips,Red Asymmetric Dress,Blonde Spacebuns,No Headwear,COMMON
1865,5285,Light Yellow,Brown,3D Glasses,Big Grin,Red Asymmetric Dress,Brown Wavy,No Headwear,COMMON
1866,6202,VeSea,Brown,Fiery Eyes,Upset,Brown Cape,Red Pullback,No Headwear,COMMON
1867,7365,Aftermath,Brown,Fiery Eyes,Kissy Lips,Battle Armor,Black Straight,No Headwear,COMMON
1868,6085,Purple Clouds,Brown,Crying Eyes,Pink Thin Lips,Blue Halterneck,Pixie Cut,No Headwear,COMMON
1869,64,Up Only,Green,3D Glasses,Gritting Teeth,Blue Halterneck,Red Pullback,No Headwear,COMMON
1870,2192,Rainbow,Brown,Pink Eyes,Gritting Teeth,Green Brassiere,Brown Spacebuns,No Headwear,COMMON
1871,5232,Light Pink,Brown,Fiery Eyes,Stuck Out Tongue,Red Asymmetric Dress,Red Wavy,No Headwear,COMMON
1872,3771,VeSea,Blue,Grey Dewy Eyes,Kissy Lips,Black Cape,Red Braid,No Headwear,COMMON
1873,7244,Purple Clouds,Peach,Rolled Eyes,Confused,Red Dress,Red Wavy,No Headwear,COMMON
1874,5164,Light Orange,Peach,Blue Angry Eyes,Confused,Red Asymmetric Dress,Black Wavy,No Headwear,COMMON
1875,4361,Light Purple,Peach,Green Slanted Eyes,Black Mask,Blue Halterneck,Black Wavy,No Headwear,COMMON
1876,7671,Light Purple,Brown,Blue Sleepy Eyes,Pink Thin Lips,Red Dress,Red Wavy,No Headwear,COMMON
1877,2444,VeSea,Blue,VeChain Visor,Pink Thin Lips,Blue Halterneck,White Braid,No Headwear,COMMON
1878,4449,Graveyard,Yellow,Blue Angry Eyes,Pink Plump Lips,Red Asymmetric Dress,Black Straight,No Headwear,COMMON
1879,5516,Rainbow,Yellow,3D Glasses,Slightly Open,Red Cami,Red Wavy,No Headwear,COMMON
1880,2709,Light Purple,Green,Green Angry Eyes,Shocked,Red Asymmetric Dress,Black Wavy,No Headwear,COMMON
1881,4357,Graveyard,Green,Pink Eyes,Stuck Out Tongue,Blue Halterneck,White Braid,No Headwear,COMMON
1882,5900,Rainbow,Peach,Scarred Eyes,Kissy Lips,Blue Halterneck,Black Wavy,No Headwear,COMMON
1883,6987,Light Purple,Blue,Eye Patch,Big Grin,Blue Halterneck,Black Pullback,No Headwear,COMMON
1884,6583,Purple Clouds,Green,Blue Sleepy Eyes,Stuck Out Tongue,Blue Halterneck,Red Braid,No Headwear,COMMON
1885,3182,Purple Clouds,Yellow,Crying Eyes,Stuck Out Tongue,Red Dress,Black Pullback,No Headwear,COMMON
1886,6832,Light Turquoise,Brown,Grey Dewy Eyes,Pink Thin Lips,Blue Halterneck,Black Pullback,No Headwear,COMMON
1887,7011,Light Purple,Peach,Scarred Eyes,Pink Plump Lips,Red Asymmetric Dress,Red Pullback,No Headwear,COMMON
1888,4649,Light Orange,Peach,VeChain Visor,Black Mask,Red Dress,Black Wavy,No Headwear,COMMON
1889,4558,VeSea,Blue,Blue Angry Eyes,Gritting Teeth,Red Asymmetric Dress,Pink Short Tiedback,No Headwear,COMMON
1890,3824,Light Orange,Peach,Fiery Eyes,Pink Plump Lips,Checkered Brassiere,Pixie Cut,No Headwear,COMMON
1891,7369,Rainbow,Green,Fiery Eyes,Shocked,Black Plunge Dress,Black Straight Bob,No Headwear,COMMON
1892,5258,Purple Clouds,Brown,Green Slanted Eyes,Pink Plump Lips,Red Dress,Black Straight,No Headwear,COMMON
1893,181,Greyish Blue,Brown,Eye Patch,Confused,Red Dress,Red Braid,No Headwear,COMMON
1894,5989,Purple Clouds,Yellow,Diamond Eyes,Upset,Red Asymmetric Dress,Red Wavy,No Headwear,COMMON
1895,2185,Light Turquoise,Blue,Blue Angry Eyes,Big Grin,Red Dress,Pink Short Tiedback,No Headwear,COMMON
1896,2289,Purple Clouds,Peach,Pink Eyes,Gritting Teeth,Blue Halterneck,White Pullback,No Headwear,COMMON
1897,1133,Greyish Blue,Green,Pink Eyes,Shocked,Green Brassiere,Layered Purple,No Headwear,COMMON
1898,1211,Greyish Blue,Brown,Fiery Eyes,Slightly Open,Blue Brassiere,Black Wavy,No Headwear,COMMON
1899,1747,Light Red,Blue,Fiery Eyes,Upset,Red Dress,Black Wavy,No Headwear,COMMON
1900,7057,Light Blue,Green,Blue Angry Eyes,Pink Plump Lips,Blue Halterneck,Red Braid,No Headwear,COMMON
1901,7161,Light Orange,Brown,Crying Eyes,Upset,Red Dress,Red Braid,No Headwear,COMMON
1902,7152,Light Orange,Yellow,Fiery Eyes,Pink Plump Lips,Checkered Brassiere,White Braid,No Headwear,COMMON
1903,3576,Light Yellow,Yellow,3D Glasses,Big Grin,Checkered Brassiere,Brown Straight Bob,No Headwear,COMMON
1904,3197,Purple Clouds,Green,Green Slanted Eyes,Big Grin,Red Dress,Red Wavy,No Headwear,COMMON
1905,2865,Blue Clouds,Yellow,Fiery Eyes,Upset,Red Asymmetric Dress,Black Straight Bob,No Headwear,COMMON
1906,5060,Light Blue,Green,Crying Eyes,Confused,Red Asymmetric Dress,Black Wavy,No Headwear,COMMON
1907,5930,Light Blue,Brown,Pink Eyes,Gritting Teeth,Green Brassiere,Red Pullback,No Headwear,COMMON
1908,1339,Light Yellow,Yellow,3D Glasses,Black Mask,Red Dress,Red Straight,No Headwear,COMMON
1909,3169,Light Turquoise,Peach,Pink Eyes,Gritting Teeth,Black Plunge Dress,Red Pullback,No Headwear,COMMON
1910,2777,Light Purple,Blue,3D Glasses,Pink Thin Lips,Black Cape,Black Wavy,No Headwear,COMMON
1911,2434,Purple Clouds,Peach,Pink Eyes,Confused,Red Asymmetric Dress,White Pullback,No Headwear,COMMON
1912,6039,Rainbow,Green,Deal With It,Kissy Lips,Red Asymmetric Dress,Black Pullback,No Headwear,COMMON
1913,1012,Aftermath,Blue,Fiery Eyes,Black Mask,Black Plunge Dress,Black Wavy,No Headwear,COMMON
1914,1817,Graveyard,Brown,Grey Dewy Eyes,Big Grin,Red Asymmetric Dress,Red Braid,No Headwear,COMMON
1915,4056,Light Blue,Peach,3D Glasses,Shocked,Red Dress,Brown Straight Bob,No Headwear,COMMON
1916,2640,Light Orange,Blue,Rolled Eyes,Pink Plump Lips,Blue Halterneck,Red Wavy,No Headwear,COMMON
1917,2327,Rainbow,Brown,Rolled Eyes,Stuck Out Tongue,Red Dress,Red Wavy,No Headwear,COMMON
1918,1587,VeSea,Peach,Pink Eyes,Stuck Out Tongue,Battle Armor,Black Straight,No Headwear,COMMON
1919,6599,Graveyard,Blue,Green Angry Eyes,Pink Plump Lips,Red Asymmetric Dress,Red Pullback,No Headwear,COMMON
1920,867,Greyish Blue,Green,Diamond Eyes,Kissy Lips,Red Asymmetric Dress,Black Wavy,No Headwear,COMMON
1921,2762,Purple Clouds,Green,Blue Dewy Eyes,Shocked,Blue Halterneck,Black Wavy,No Headwear,COMMON
1922,1894,Light Purple,Blue,VeChain Visor,Confused,Blue Brassiere,Black Straight,No Headwear,COMMON
1923,3481,Light Purple,Blue,Fiery Eyes,Pink Thin Lips,Checkered Brassiere,Blonde Spacebuns,No Headwear,COMMON
1924,4923,Purple Clouds,Green,Deal With It,Upset,Blue Halterneck,Red Straight,No Headwear,COMMON
1925,3775,Rainbow,Brown,Pink Eyes,Upset,Blue Brassiere,Brown Wavy,No Headwear,COMMON
1926,2988,Light Yellow,Green,Pink Eyes,Confused,Red Cami,Brown Straight Bob,No Headwear,COMMON
1927,210,Graveyard,Brown,Fiery Eyes,Stuck Out Tongue,Red Asymmetric Dress,Brown Spacebuns,No Headwear,COMMON
1928,4221,Rainbow,Blue,Pink Eyes,Pink Plump Lips,Black Horseskin,Black Straight,No Headwear,COMMON
1929,7331,VeSea,Brown,Diamond Eyes,Kissy Lips,Blue Halterneck,Red Straight,No Headwear,COMMON
1930,5730,Aftermath,Yellow,VeChain Visor,Black Mask,Red Dress,Red Straight,No Headwear,COMMON
1931,5256,Aftermath,Peach,Rolled Eyes,Shocked,Blue Halterneck,Brown Straight Bob,No Headwear,COMMON
1932,6618,Purple Clouds,Brown,Green Angry Eyes,Slightly Open,Blue Halterneck,Pink Short Tiedback,No Headwear,COMMON
1933,6284,Rainbow,Yellow,Bug Eyes,Pink Plump Lips,Blue Halterneck,Brown Spacebuns,No Headwear,COMMON
1934,165,Purple Clouds,Brown,Grey Dewy Eyes,Pink Plump Lips,Red Cami,Black Wavy,No Headwear,COMMON
1935,4687,Rainbow,Green,Icy Eyes,Shocked,Red Dress,Red Pullback,No Headwear,COMMON
1936,1660,Light Brown,Peach,Grey Dewy Eyes,Slightly Open,Checkered Brassiere,Red Pullback,No Headwear,COMMON
1937,4213,Aftermath,Brown,Deal With It,Upset,Blue Halterneck,Black Straight Bob,No Headwear,COMMON
1938,7736,Purple Clouds,Green,VeChain Visor,Pink Thin Lips,Black Cape,Red Wavy,No Headwear,COMMON
1939,1398,VeSea,Brown,Grey Dewy Eyes,Pink Thin Lips,Black Cape,Black Wavy,No Headwear,COMMON
1940,5141,Rainbow,Brown,3D Glasses,Big Grin,Black Plunge Dress,Black Wavy,No Headwear,COMMON
1941,2112,VeSea,Green,Diamond Eyes,Kissy Lips,Red Dress,Pink Short Tiedback,No Headwear,COMMON
1942,6281,Aftermath,Green,Pink Eyes,Confused,Black Cami,Red Wavy,No Headwear,COMMON
1943,4671,Purple Clouds,Green,Blue Angry Eyes,Stuck Out Tongue,Black Cape,Red Wavy,No Headwear,COMMON
1944,224,Light Pink,Blue,Fiery Eyes,Upset,Red Asymmetric Dress,Pink Short Tiedback,No Headwear,COMMON
1945,2133,Up Only,Peach,Pink Eyes,Pink Thin Lips,Blue Halterneck,Brown Straight Bob,No Headwear,COMMON
1946,6672,Light Orange,Yellow,3D Glasses,Pink Plump Lips,Black Cape,Black Wavy,No Headwear,COMMON
1947,5496,Light Turquoise,Green,Grey Dewy Eyes,Black Mask,Red Cami,Red Pullback,No Headwear,COMMON
1948,1970,Light Turquoise,Yellow,VeChain Visor,Stuck Out Tongue,Red Dress,Pink Short Tiedback,No Headwear,COMMON
1949,2367,Light Brown,Peach,3D Glasses,Pink Thin Lips,Checkered Brassiere,Red Pullback,No Headwear,COMMON
1950,6378,Rainbow,Brown,Fiery Eyes,Confused,Brown Cape,Brown Wavy,No Headwear,COMMON
1951,3618,Rainbow,Green,3D Glasses,Small Smile,Green Brassiere,Brown Spacebuns,No Headwear,COMMON
1952,423,Light Blue,Peach,Eye Patch,Big Grin,Blue Halterneck,Black Straight,No Headwear,COMMON
1953,427,Light Orange,Brown,Deal With It,Kissy Lips,Red Asymmetric Dress,Black Straight,No Headwear,COMMON
1954,2152,Light Orange,Green,Grey Dewy Eyes,Black Mask,Black Cape,Red Wavy,No Headwear,COMMON
1955,5797,Purple Clouds,Yellow,Green Angry Eyes,Kissy Lips,Red Asymmetric Dress,Red Braid,No Headwear,COMMON
1956,6047,Rainbow,Green,Diamond Eyes,Confused,Red Dress,Pixie Cut,No Headwear,COMMON
1957,4098,Aftermath,Brown,Crying Eyes,Confused,Black with Chains,Red Pullback,No Headwear,COMMON
1958,7128,Blue Clouds,Yellow,Fiery Eyes,Kissy Lips,Green Brassiere,Pink Short Tiedback,No Headwear,COMMON
1959,232,Light Purple,Brown,Eye Patch,Small Smile,Blue Halterneck,Brown Spacebuns,No Headwear,COMMON
1960,6273,Light Purple,Brown,Blue Sleepy Eyes,Pink Plump Lips,Red Asymmetric Dress,Black Pullback,No Headwear,COMMON
1961,2332,Rainbow,Peach,Deal With It,Upset,Red Dress,Black White Straight,No Headwear,COMMON
1962,2497,Rainbow,Brown,Grey Dewy Eyes,Slightly Open,Blue Halterneck,Blue Wavy Bob,No Headwear,COMMON
1963,7100,Graveyard,Green,Fiery Eyes,Upset,Red Cami,Black Straight,No Headwear,COMMON
1964,2867,Blue Clouds,Brown,Fiery Eyes,Confused,Black Cape,Brown Wavy,No Headwear,COMMON
1965,4970,VeSea,Yellow,Fiery Eyes,Shocked,Blue Brassiere,Pixie Cut,No Headwear,COMMON
1966,3914,Light Purple,Blue,Grey Dewy Eyes,Pink Plump Lips,Black Cape,Layered Purple,No Headwear,COMMON
1967,7311,Light Brown,Brown,Diamond Eyes,Slightly Open,Blue Halterneck,Red Pullback,No Headwear,COMMON
1968,3192,Light Green,Brown,Grey Dewy Eyes,Stuck Out Tongue,Red Dress,Red Pullback,No Headwear,COMMON
1969,1126,Light Brown,Blue,Pink Eyes,Black Mask,Checkered Brassiere,Brown Straight Bob,No Headwear,COMMON
1970,5119,Light Turquoise,Brown,Green Angry Eyes,Pink Thin Lips,Red Asymmetric Dress,Red Pullback,No Headwear,COMMON
1971,2812,Aftermath,Green,Green Angry Eyes,Kissy Lips,Green Brassiere,Red Pullback,No Headwear,COMMON
1972,2510,Aftermath,Blue,Grey Dewy Eyes,Small Smile,Black Cape,Brown Straight Bob,No Headwear,COMMON
1973,6197,Light Yellow,Green,Fiery Eyes,Slightly Open,Green Brassiere,Red Straight,No Headwear,COMMON
1974,3934,Blue Clouds,Peach,Blue Sleepy Eyes,Shocked,Red Dress,Red Wavy,No Headwear,COMMON
1975,61,VeSea,Peach,Rolled Eyes,Confused,Black Cape,Red Pullback,No Headwear,COMMON
1976,6361,Graveyard,Yellow,Blue Angry Eyes,Pink Thin Lips,Blue Halterneck,Red Braid,No Headwear,COMMON
1977,714,VeSea,Peach,Pink Eyes,Confused,Brown Cape,Red Braid,No Headwear,COMMON
1978,4368,Aftermath,Peach,Grey Dewy Eyes,Black Mask,Blue Brassiere,Black Straight,No Headwear,COMMON
1979,323,Light Turquoise,Blue,Green Angry Eyes,Kissy Lips,Blue Halterneck,Brown Wavy,No Headwear,COMMON
1980,845,Light Purple,Green,Pink Eyes,Upset,Blue Brassiere,Brown Wavy,No Headwear,COMMON
1981,7364,VeSea,Brown,Deal With It,Small Smile,Red Dress,Brown Wavy,No Headwear,COMMON
1982,3139,Rainbow,Green,3D Glasses,Black Mask,Black with Chains,Black Straight,No Headwear,COMMON
1983,3282,Light Turquoise,Yellow,Eye Patch,Pink Plump Lips,Blue Halterneck,Red Straight,No Headwear,COMMON
1984,1662,Light Purple,Green,Grey Dewy Eyes,Small Smile,Black Cape,Brown Wavy,No Headwear,COMMON
1985,4034,Light Green,Yellow,Crying Eyes,Pink Thin Lips,Blue Halterneck,Black Straight,No Headwear,COMMON
1986,3739,Rainbow,Yellow,Bug Eyes,Kissy Lips,Red Asymmetric Dress,Red Braid,No Headwear,COMMON
1987,3008,VeSea,Blue,Grey Dewy Eyes,Shocked,Checkered Brassiere,Blonde Spacebuns,No Headwear,COMMON
1988,3150,Rainbow,Blue,Fiery Eyes,Black Mask,Fluffy White Offshoulder,Red Pullback,No Headwear,COMMON
1989,1231,Light Pink,Blue,Crying Eyes,Black Mask,Red Asymmetric Dress,Red Wavy,No Headwear,COMMON
1990,6131,VeSea,Yellow,Grey Dewy Eyes,Shocked,Blue Brassiere,Red Braid,No Headwear,COMMON
1991,576,Aftermath,Green,Blue Angry Eyes,Pink Plump Lips,Checkered Brassiere,Black Straight Bob,No Headwear,COMMON
1992,3908,Greyish Blue,Peach,Rolled Eyes,Shocked,Red Dress,Red Braid,No Headwear,COMMON
1993,5637,Rainbow,Brown,Blue Angry Eyes,Confused,Red Cami,Brown Straight Bob,No Headwear,COMMON
1994,1473,Greyish Blue,Blue,Pink Eyes,Confused,Black Horseskin,Red Wavy,No Headwear,COMMON
1995,5024,Up Only,Yellow,Pink Eyes,Small Smile,Blue Halterneck,Black Pullback,No Headwear,COMMON
1996,769,Up Only,Brown,VeChain Visor,Pink Plump Lips,Red Dress,Red Wavy,No Headwear,COMMON
1997,7544,Light Green,Blue,Fiery Eyes,Confused,Blue Brassiere,Red Pullback,No Headwear,COMMON
1998,2643,Rainbow,Green,Eye Patch,Small Smile,Red Dress,Red Straight,No Headwear,COMMON
1999,6843,Purple Clouds,Peach,Pink Eyes,Upset,Black Horseskin,Red Pullback,No Headwear,COMMON
2000,2364,Light Yellow,Peach,Pink Eyes,Pink Thin Lips,Blue Halterneck,Blue Wavy Bob,No Headwear,COMMON
2001,1565,Rainbow,Blue,Deal With It,Kissy Lips,Battle Armor,Red Pullback,No Headwear,COMMON
2002,7546,Light Yellow,Yellow,Deal With It,Upset,Blue Halterneck,Brown Spacebuns,No Headwear,COMMON
2003,778,Light Orange,Peach,Crying Eyes,Pink Thin Lips,Red Dress,Brown Wavy,No Headwear,COMMON
2004,6091,VeSea,Blue,Diamond Eyes,Confused,Red Asymmetric Dress,Brown Spacebuns,No Headwear,COMMON
2005,650,Up Only,Brown,3D Glasses,Confused,Blue Halterneck,Brown Wavy,No Headwear,COMMON
2006,3298,VeSea,Peach,Pink Eyes,Confused,White Cape,Red Straight,No Headwear,COMMON
2007,5086,Light Blue,Peach,Deal With It,Kissy Lips,Blue Halterneck,Red Braid,No Headwear,COMMON
2008,4751,Purple Clouds,Brown,Crying Eyes,Stuck Out Tongue,Checkered Brassiere,Black Straight Bob,No Headwear,COMMON
2009,1694,Greyish Blue,Blue,Blue Angry Eyes,Pink Plump Lips,Black Plunge Dress,Red Wavy,No Headwear,COMMON
2010,7567,Rainbow,Green,Diamond Eyes,Confused,Black Plunge Dress,Red Pullback,No Headwear,COMMON
2011,6763,VeSea,Peach,Green Angry Eyes,Stuck Out Tongue,Checkered Brassiere,Black Straight,No Headwear,COMMON
2012,2841,Light Pink,Yellow,3D Glasses,Stuck Out Tongue,Blue Halterneck,Red Braid,No Headwear,COMMON
2013,1010,Purple Clouds,Green,Grey Dewy Eyes,Pink Plump Lips,Black with Chains,Black Straight,No Headwear,COMMON
2014,4247,Blue Clouds,Blue,Eye Patch,Gritting Teeth,Blue Halterneck,Black Straight,No Headwear,COMMON
2015,6347,Rainbow,Brown,Pink Eyes,Stuck Out Tongue,Brown Cape,Black Wavy,No Headwear,COMMON
2016,6762,Light Yellow,Green,Rolled Eyes,Pink Plump Lips,Checkered Brassiere,Red Pullback,No Headwear,COMMON
2017,7169,VeSea,Brown,Blue Angry Eyes,Kissy Lips,Checkered Brassiere,Red Straight,No Headwear,COMMON
2018,6883,Aftermath,Brown,Green Slanted Eyes,Slightly Open,Blue Halterneck,Red Braid,No Headwear,COMMON
2019,3414,Graveyard,Blue,Crying Eyes,Black Mask,Red Asymmetric Dress,Brown Wavy,No Headwear,COMMON
2020,707,VeSea,Peach,VeChain Visor,Gritting Teeth,Black Cape,Pink Short Tiedback,No Headwear,COMMON
