ranking,vElf #,background,skin,eyes,mouth,clothes,hair,headwear,Rarity
1320,3893,Light Brown,Peach,Bug Eyes,Black Mask,Brown Offshoulder,Layered Purple,Leaf Crown,RARE
1321,6652,Light Green,Brown,Diamond Eyes,Pink Thin Lips,Black Cape,Red Pullback,Butterfly,RARE
1322,1663,Light Pink,Yellow,Blue Dewy Eyes,Small Smile,Brown Cape,Pink Short Tiedback,Leaf Crown,RARE
1323,6737,Blue Clouds,Blue,Blue Sleepy Eyes,Gritting Teeth,Red Elven Dress,Pink Short Tiedback,Bunny Ears,RARE
1324,6969,Light Red,Blue,Deal With It,Black Mask,Brown Horseskin,Pink Short Tiedback,Leaf Crown,RARE
1325,839,Up Only,Yellow,Fiery Eyes,Slightly Open,Red Plunge Dress,Brown Straight Bob,Elven Crown,RARE
1326,5903,Light Turquoise,Brown,Green Angry Eyes,Gritting Teeth,White Cami,Black White Straight,Bunny Ears,RARE
1327,6393,Light Turquoise,Blue,Blue Sleepy Eyes,Confused,Black Plunge Dress,Brown Spacebuns,Butterfly,RARE
1328,7021,Light Orange,Blue,Rolled Eyes,Kissy Lips,Brown Horseskin,White Braid,Leaf Crown,RARE
1329,694,Greyish Blue,Blue,VeChain Visor,Stuck Out Tongue,Battle Armor,Blonde Spacebuns,Butterfly,RARE
1330,6287,Light Pink,Peach,Rolled Eyes,Pink Thin Lips,Blue Asymmetric Dress,Pixie Cut,Diadem,RARE
1331,702,Light Green,Green,3D Glasses,Confused,Red Elven Dress,Red Straight,Leaf Crown,RARE
1332,5228,Light Blue,Yellow,Fiery Eyes,Upset,Brown Cape,Layered Purple,Butterfly,RARE
1333,5693,Light Orange,Yellow,VeChain Visor,Slightly Open,Blue Asymmetric Dress,Pink Short Tiedback,Bunny Ears,RARE
1334,3748,Up Only,Brown,VeChain Visor,Pink Thin Lips,Fluffy White Offshoulder,Layered Purple,Bunny Ears,RARE
1335,1704,Light Purple,Yellow,Bug Eyes,Big Grin,White Cami,Black White Straight,Leaf Crown,RARE
1336,6604,Light Brown,Green,Scarred Eyes,Gritting Teeth,Brown Brassiere,White Braid,Diadem,RARE
1337,6033,Rainbow,Yellow,Diamond Eyes,Small Smile,Brown Cape,Brown Wavy,Butterfly,RARE
1338,3081,Light Brown,Blue,Purple Eyes,Kissy Lips,Red Plunge Dress,Blue Wavy Bob,Devil Horns,RARE
1339,2313,Light Blue,Blue,Purple Eyes,Pink Plump Lips,Red Asymmetric Dress,Pink Short Tiedback,Butterfly,RARE
1340,1678,Light Yellow,Blue,Green Slanted Eyes,Stuck Out Tongue,White Asymmetric Dress,Blonde Spacebuns,Leaf Crown,RARE
1341,3480,Light Purple,Blue,Eye Patch,Gritting Teeth,Brown Brassiere,Black Straight,Leaf Crown,RARE
1342,6943,Light Brown,Blue,Icy Eyes,Gritting Teeth,Shirtdress,Black Pullback,Devil Horns,RARE
1343,3516,Light Purple,Peach,VeChain Visor,Pink Plump Lips,Brown Cami,Black Pullback,Butterfly,RARE
1344,121,Greyish Blue,Blue,Blue Dewy Eyes,Confused,Blue Brassiere,Black Pullback,Butterfly,RARE
1345,4493,Forest,Peach,Icy Eyes,Upset,Brown Cape,Black Straight Bob,Bunny Ears,RARE
1346,3592,Light Orange,Peach,Rolled Eyes,Slightly Open,Shirtdress,Brown Spacebuns,VeChain Tiara,RARE
1347,84,VeSea,Brown,Scarred Eyes,Confused,Black Plunge Dress,Pink Short Tiedback,Butterfly,RARE
1348,6535,Up Only,Brown,Green Slanted Eyes,Upset,Red Asymmetric Dress,Red Braid,Butterfly,RARE
1349,1688,VeSea,Brown,Scarred Eyes,Gritting Teeth,Brown Cape,White Pullback,Leaf Crown,RARE
1350,5132,Forest,Blue,VeChain Visor,Small Smile,White Cami,Black Pullback,Leaf Crown,RARE
1351,7288,Rainbow,Peach,Purple Eyes,Kissy Lips,Red Plunge Dress,Red Wavy,Bunny Ears,RARE
1352,4891,Light Purple,Brown,Diamond Eyes,Pink Plump Lips,Shirtdress,Red Pullback,Leaf Crown,RARE
1353,2475,Light Yellow,Yellow,Green Angry Eyes,Stuck Out Tongue,Blue Dress,Pixie Cut,Bunny Ears,RARE
1354,5915,Light Orange,Peach,Green Angry Eyes,Kissy Lips,Orange Brassiere,Blonde Spacebuns,Leaf Crown,RARE
1355,1086,Light Turquoise,Green,Eye Patch,Gritting Teeth,Battle Armor,Red Braid,Butterfly,RARE
1356,2814,Light Turquoise,Green,Blue Dewy Eyes,Pink Plump Lips,Blue Dress,Brown Spacebuns,Bunny Ears,RARE
1357,7203,Graveyard,Brown,Scarred Eyes,Pink Thin Lips,Red Elven Dress,Black Straight,Elven Crown,RARE
1358,1870,Forest,Green,Diamond Eyes,Stuck Out Tongue,Pink Brassiere,Black White Straight,Bunny Ears,RARE
1359,5792,Light Red,Brown,Eye Patch,Small Smile,Pink Brassiere,Pixie Cut,Elven Crown,RARE
1360,2653,Graveyard,Yellow,Green Slanted Eyes,Gritting Teeth,Red Elven Dress,Red Braid,Bunny Ears,RARE
1361,4140,Purple Clouds,Yellow,Eye Patch,Pink Thin Lips,White Asymmetric Dress,Red Pullback,Butterfly,RARE
1362,450,Purple Clouds,Green,3D Glasses,Shocked,Brown Cami,White Braid,Butterfly,RARE
1363,3067,Light Pink,Yellow,Eye Patch,Kissy Lips,White Asymmetric Dress,White Braid,Leaf Crown,RARE
1364,753,Light Green,Peach,Diamond Eyes,Black Mask,Pink Brassiere,Black White Straight,Bunny Ears,RARE
1365,630,Light Green,Brown,Rolled Eyes,Shocked,Black Horseskin,Black Straight Bob,Leaf Crown,RARE
1366,7176,Graveyard,Brown,Blue Dewy Eyes,Slightly Open,White Asymmetric Dress,Blonde Spacebuns,Elven Crown,RARE
1367,2646,Light Pink,Green,Blue Dewy Eyes,Small Smile,Fluffy White Offshoulder,Red Wavy,Leaf Crown,RARE
1368,4767,Graveyard,Yellow,Diamond Eyes,Kissy Lips,Blue Dress,Layered Purple,Bunny Ears,RARE
1369,4022,Light Yellow,Brown,Heart Eyes,Pink Thin Lips,Black Cami,White Pullback,Leaf Crown,RARE
1370,3584,Blue Clouds,Blue,VeChain Visor,Big Grin,White Cape,Layered Purple,Butterfly,RARE
1371,6368,Forest,Blue,Green Slanted Eyes,Big Grin,Black Cami,White Pullback,Bunny Ears,RARE
1372,1506,Forest,Blue,Rolled Eyes,Stuck Out Tongue,Brown Cami,Black Pullback,Bunny Ears,RARE
1373,5145,Blue Clouds,Brown,Grey Dewy Eyes,Small Smile,Blue Asymmetric Dress,Pixie Cut,Elven Crown,RARE
1374,6632,VeSea,Brown,Green Slanted Eyes,Black Mask,Orange Brassiere,Blue Wavy Bob,Bunny Ears,RARE
1375,6751,Light Purple,Blue,Bug Eyes,Confused,Blue Asymmetric Dress,Layered Purple,Elven Crown,RARE
1376,4528,Purple Clouds,Yellow,Purple Eyes,Small Smile,Brown Cami,White Braid,Leaf Crown,RARE
1377,6026,Blue Clouds,Yellow,Blue Sleepy Eyes,Pink Plump Lips,Black with Chains,Red Braid,Butterfly,RARE
1378,3782,Light Blue,Blue,Blue Dewy Eyes,Slightly Open,Black Horseskin,Brown Spacebuns,Leaf Crown,RARE
1379,2539,Rainbow,Blue,Rolled Eyes,Pink Thin Lips,Brown Horseskin,White Pullback,Leaf Crown,RARE
1380,5057,Light Yellow,Blue,Eye Patch,Pink Plump Lips,Black with Chains,White Braid,Butterfly,RARE
1381,5482,Light Pink,Green,Blue Angry Eyes,Big Grin,Black with Chains,Black Wavy,Butterfly,RARE
1382,1975,Light Purple,Brown,3D Glasses,Slightly Open,Brown Horseskin,Brown Spacebuns,Butterfly,RARE
1383,7144,Light Green,Yellow,Deal With It,Pink Thin Lips,Black Cape,Red Braid,Butterfly,RARE
1384,2240,Light Turquoise,Peach,Grey Dewy Eyes,Black Mask,Black Horseskin,Pixie Cut,Butterfly,RARE
1385,6510,Rainbow,Green,Green Slanted Eyes,Slightly Open,Red Plunge Dress,Red Straight,Elven Crown,RARE
1386,1811,Up Only,Blue,Heart Eyes,Stuck Out Tongue,Fluffy White Offshoulder,Brown Wavy,Elven Crown,RARE
1387,1838,Forest,Green,3D Glasses,Slightly Open,Brown Offshoulder,Black Wavy,Butterfly,RARE
1388,1110,Forest,Blue,Rolled Eyes,Pink Thin Lips,Orange Brassiere,Brown Wavy,Elven Crown,RARE
1389,523,Greyish Blue,Green,Eye Patch,Stuck Out Tongue,Red Plunge Dress,Brown Wavy,Bunny Ears,RARE
1390,7406,Aftermath,Yellow,Grey Dewy Eyes,Pink Thin Lips,Red Plunge Dress,Black White Straight,Leaf Crown,RARE
1391,4086,Graveyard,Brown,Purple Eyes,Slightly Open,Brown Horseskin,Black Pullback,Elven Crown,RARE
1392,5877,Light Turquoise,Blue,Rolled Eyes,Pink Plump Lips,Black Horseskin,Red Wavy,Butterfly,RARE
1393,7434,Forest,Peach,Blue Angry Eyes,Small Smile,White Cami,Pixie Cut,Leaf Crown,RARE
1394,4095,VeSea,Brown,Icy Eyes,Stuck Out Tongue,Black Plunge Dress,Red Wavy,Butterfly,RARE
1395,1116,Light Yellow,Yellow,Purple Eyes,Pink Thin Lips,Brown Horseskin,White Braid,Bunny Ears,RARE
1396,5336,Blue Clouds,Brown,Blue Angry Eyes,Black Mask,Black with Chains,Brown Wavy,Butterfly,RARE
1397,4796,Light Turquoise,Green,Blue Sleepy Eyes,Gritting Teeth,Battle Armor,Black Straight Bob,Butterfly,RARE
1398,4776,Greyish Blue,Brown,Green Slanted Eyes,Pink Thin Lips,Blue Brassiere,Red Straight,Butterfly,RARE
1399,2934,Light Green,Yellow,Deal With It,Slightly Open,Blue Dress,Red Braid,Bunny Ears,RARE
1400,1384,Up Only,Yellow,Scarred Eyes,Black Mask,Orange Brassiere,Red Pullback,Leaf Crown,RARE
1401,7215,Aftermath,Green,VeChain Visor,Shocked,Pink Brassiere,Red Straight,Butterfly,RARE
1402,6359,Light Pink,Brown,Purple Eyes,Gritting Teeth,Fluffy White Offshoulder,Red Wavy,Bunny Ears,RARE
1403,1635,Light Red,Peach,Rolled Eyes,Big Grin,Black Horseskin,Layered Purple,Leaf Crown,RARE
1404,5078,Graveyard,Blue,Scarred Eyes,Stuck Out Tongue,Fluffy White Offshoulder,White Braid,Bunny Ears,RARE
1405,6978,Purple Clouds,Brown,Heart Eyes,Upset,Red Plunge Dress,Brown Wavy,Elven Crown,RARE
1406,7238,Rainbow,Peach,Rolled Eyes,Shocked,Shirtdress,Pink Short Tiedback,Elven Crown,RARE
1407,7223,Rainbow,Yellow,Rolled Eyes,Pink Thin Lips,Shirtdress,Red Wavy,Elven Crown,RARE
1408,657,Light Red,Green,Green Slanted Eyes,Kissy Lips,Shirtdress,Brown Spacebuns,Diadem,RARE
1409,1319,Graveyard,Green,Heart Eyes,Small Smile,Black Horseskin,Blue Wavy Bob,Bunny Ears,RARE
1410,6596,Rainbow,Yellow,Blue Sleepy Eyes,Upset,Brown Brassiere,Blonde Spacebuns,Bunny Ears,RARE
1411,6867,Light Red,Blue,Pink Eyes,Confused,Brown Offshoulder,Layered Purple,Butterfly,RARE
1412,551,Light Red,Blue,Green Angry Eyes,Stuck Out Tongue,Red Cami,Red Wavy,Butterfly,RARE
1413,542,Light Yellow,Brown,Green Slanted Eyes,Gritting Teeth,Orange Brassiere,Blonde Spacebuns,Leaf Crown,RARE
1414,7233,Rainbow,Green,Blue Dewy Eyes,Big Grin,Red Plunge Dress,Brown Straight Bob,Leaf Crown,RARE
1415,1786,Light Pink,Yellow,Rolled Eyes,Gritting Teeth,Red Asymmetric Dress,Brown Spacebuns,Butterfly,RARE
1416,6922,Light Green,Green,Blue Sleepy Eyes,Upset,Blue Halterneck,White Pullback,Butterfly,RARE
1417,7458,Light Red,Peach,Fiery Eyes,Stuck Out Tongue,Brown Cape,White Braid,Butterfly,RARE
1418,6304,Light Yellow,Yellow,Purple Eyes,Small Smile,Black with Chains,Blue Wavy Bob,Leaf Crown,RARE
1419,3596,Up Only,Peach,Rolled Eyes,Upset,White Cami,Brown Straight Bob,Elven Crown,RARE
1420,4459,Light Brown,Blue,Diamond Eyes,Slightly Open,Pink Brassiere,White Pullback,Elven Crown,RARE
1421,4745,Forest,Yellow,Scarred Eyes,Big Grin,Brown Cami,Layered Purple,Bunny Ears,RARE
1422,2125,Greyish Blue,Yellow,Bug Eyes,Small Smile,Checkered Brassiere,White Pullback,Butterfly,RARE
1423,2580,Light Green,Brown,Diamond Eyes,Gritting Teeth,Brown Horseskin,Black Pullback,Leaf Crown,RARE
1424,2975,Light Green,Blue,Icy Eyes,Confused,Blue Brassiere,Blue Wavy Bob,Bunny Ears,RARE
1425,4417,Light Purple,Brown,Green Slanted Eyes,Upset,Blue Dress,Blue Wavy Bob,Elven Crown,RARE
1426,6401,Light Orange,Green,Green Angry Eyes,Small Smile,Red Plunge Dress,Red Braid,Bunny Ears,RARE
1427,6991,Aftermath,Blue,Icy Eyes,Black Mask,White Cami,Pixie Cut,Bunny Ears,RARE
1428,5689,Light Pink,Brown,Diamond Eyes,Confused,White Asymmetric Dress,White Pullback,Bunny Ears,RARE
1429,6934,Blue Clouds,Brown,Green Angry Eyes,Slightly Open,Fluffy White Offshoulder,Blue Wavy Bob,Elven Crown,RARE
1430,6611,Light Yellow,Brown,Bug Eyes,Shocked,White Cami,White Pullback,Elven Crown,RARE
1431,3575,Light Pink,Yellow,Rolled Eyes,Pink Plump Lips,Checkered Brassiere,Black White Straight,Butterfly,RARE
1432,6212,Greyish Blue,Yellow,VeChain Visor,Confused,Blue Dress,Red Braid,Butterfly,RARE
1433,5218,Light Orange,Yellow,Green Angry Eyes,Gritting Teeth,Black Plunge Dress,Black Straight Bob,Butterfly,RARE
1434,5739,Light Red,Peach,Blue Sleepy Eyes,Slightly Open,White Cami,White Braid,Elven Crown,RARE
1435,5506,Light Red,Peach,Fiery Eyes,Small Smile,Pink Brassiere,Red Braid,Butterfly,RARE
1436,2355,Forest,Green,Eye Patch,Black Mask,Red Dress,White Pullback,Butterfly,RARE
1437,7253,Light Blue,Peach,Blue Dewy Eyes,Small Smile,Black Plunge Dress,Red Wavy,Butterfly,RARE
1438,1998,Light Turquoise,Yellow,Deal With It,Pink Plump Lips,Brown Brassiere,Red Straight,Leaf Crown,RARE
1439,5387,Greyish Blue,Yellow,Purple Eyes,Pink Plump Lips,Red Cami,Pixie Cut,Butterfly,RARE
1440,4664,Light Brown,Green,Green Slanted Eyes,Slightly Open,White Cami,Pink Short Tiedback,Leaf Crown,RARE
1441,6239,Up Only,Brown,VeChain Visor,Upset,Red Plunge Dress,Black Wavy,Bunny Ears,RARE
1442,561,VeSea,Peach,Blue Angry Eyes,Pink Thin Lips,Shirtdress,Black Pullback,Bunny Ears,RARE
1443,4829,Light Pink,Peach,Grey Dewy Eyes,Stuck Out Tongue,White Asymmetric Dress,Red Wavy,Butterfly,RARE
1444,7417,Light Brown,Blue,Green Angry Eyes,Slightly Open,Brown Cami,White Pullback,Bunny Ears,RARE
1445,5991,Forest,Blue,Scarred Eyes,Confused,White Cami,Red Braid,Leaf Crown,RARE
1446,1511,Light Green,Blue,Eye Patch,Slightly Open,Shirtdress,Blonde Spacebuns,Diadem,RARE
1447,5552,Up Only,Peach,Green Slanted Eyes,Big Grin,Red Elven Dress,Black Pullback,Elven Crown,RARE
1448,1350,Up Only,Green,Blue Angry Eyes,Black Mask,Orange Brassiere,Blue Wavy Bob,Elven Crown,RARE
1449,5124,Light Turquoise,Brown,Eye Patch,Confused,Brown Offshoulder,White Braid,Butterfly,RARE
1450,4434,VeSea,Brown,Blue Dewy Eyes,Gritting Teeth,Brown Brassiere,Brown Straight Bob,Bunny Ears,RARE
1451,4429,Light Red,Blue,Icy Eyes,Gritting Teeth,White Asymmetric Dress,Black Straight,Leaf Crown,RARE
1452,6468,Light Brown,Blue,Bug Eyes,Stuck Out Tongue,Blue Dress,Brown Spacebuns,Elven Crown,RARE
1453,3123,Light Orange,Peach,Diamond Eyes,Kissy Lips,Black Cami,Black Pullback,Butterfly,RARE
1454,2291,Light Purple,Yellow,Diamond Eyes,Black Mask,Blue Dress,Red Pullback,Butterfly,RARE
1455,247,Blue Clouds,Peach,Deal With It,Big Grin,Red Elven Dress,White Pullback,Bunny Ears,RARE
1456,619,Blue Clouds,Brown,Fiery Eyes,Slightly Open,Shirtdress,Blonde Spacebuns,Elven Crown,RARE
1457,1016,Aftermath,Brown,Green Slanted Eyes,Gritting Teeth,Blue Asymmetric Dress,Brown Straight Bob,Leaf Crown,RARE
1458,5166,Light Blue,Yellow,Scarred Eyes,Black Mask,Orange Brassiere,Brown Wavy,Leaf Crown,RARE
1459,6337,Forest,Peach,Scarred Eyes,Slightly Open,Fluffy White Offshoulder,Layered Purple,Bunny Ears,RARE
1460,443,Light Brown,Green,Grey Dewy Eyes,Upset,Pink Brassiere,Brown Straight Bob,Butterfly,RARE
1461,454,Light Purple,Green,Purple Eyes,Shocked,Fluffy White Offshoulder,Blue Wavy Bob,Leaf Crown,RARE
1462,504,Light Pink,Blue,Purple Eyes,Stuck Out Tongue,Brown Cami,Black Straight Bob,Elven Crown,RARE
1463,6377,Light Yellow,Green,Blue Dewy Eyes,Upset,Brown Cami,White Pullback,Leaf Crown,RARE
1464,2507,Light Blue,Blue,Blue Sleepy Eyes,Kissy Lips,Brown Cape,Brown Wavy,Butterfly,RARE
1465,463,Blue Clouds,Peach,Heart Eyes,Pink Thin Lips,Black Plunge Dress,Red Braid,Butterfly,RARE
1466,5064,Light Pink,Peach,Crying Eyes,Black Mask,Red Plunge Dress,Layered Purple,Bunny Ears,RARE
1467,7110,Light Turquoise,Peach,VeChain Visor,Gritting Teeth,Fluffy White Offshoulder,Black Straight Bob,Butterfly,RARE
1468,5722,Light Orange,Peach,Blue Sleepy Eyes,Shocked,Red Plunge Dress,Blonde Spacebuns,Bunny Ears,RARE
1469,2321,Light Purple,Blue,Blue Sleepy Eyes,Kissy Lips,Pink Brassiere,Pixie Cut,Butterfly,RARE
1470,7466,Light Orange,Brown,VeChain Visor,Slightly Open,Shirtdress,Black Straight Bob,Elven Crown,RARE
1471,2796,Greyish Blue,Blue,Blue Angry Eyes,Slightly Open,Blue Dress,Black Wavy,Butterfly,RARE
1472,7317,Light Brown,Peach,Crying Eyes,Pink Plump Lips,Brown Brassiere,White Pullback,Elven Crown,RARE
1473,7308,Light Pink,Yellow,Rolled Eyes,Upset,Fluffy White Offshoulder,Layered Purple,Leaf Crown,RARE
1474,939,Forest,Blue,Deal With It,Confused,Red Plunge Dress,Red Straight,Bunny Ears,RARE
1475,7609,Light Orange,Blue,Blue Dewy Eyes,Upset,White Asymmetric Dress,White Pullback,Leaf Crown,RARE
1476,852,Graveyard,Green,Green Angry Eyes,Upset,White Asymmetric Dress,Black Straight,Butterfly,RARE
1477,1974,Light Green,Brown,Rolled Eyes,Gritting Teeth,Red Asymmetric Dress,Blonde Spacebuns,Butterfly,RARE
1478,7769,VeSea,Peach,Deal With It,Big Grin,Black Cami,Blue Wavy Bob,Butterfly,RARE
1479,1466,Light Brown,Peach,Blue Sleepy Eyes,Small Smile,Blue Brassiere,Blonde Spacebuns,Butterfly,RARE
1480,6210,Light Brown,Peach,Purple Eyes,Pink Plump Lips,Shirtdress,Blonde Spacebuns,VeChain Tiara,RARE
1481,3466,Light Purple,Blue,Bug Eyes,Slightly Open,Red Plunge Dress,Blonde Spacebuns,Elven Crown,RARE
1482,2007,Light Pink,Blue,Bug Eyes,Big Grin,Brown Cami,Blue Wavy Bob,Elven Crown,RARE
1483,1488,Light Orange,Brown,Crying Eyes,Small Smile,Pink Brassiere,Pixie Cut,Butterfly,RARE
1484,7469,Light Red,Brown,Green Slanted Eyes,Slightly Open,White Cami,Black Pullback,Bunny Ears,RARE
1485,7000,Purple Clouds,Yellow,Deal With It,Slightly Open,White Asymmetric Dress,Layered Purple,Butterfly,RARE
1486,6394,Up Only,Yellow,Green Slanted Eyes,Slightly Open,White Cami,White Braid,Elven Crown,RARE
1487,5167,Light Yellow,Blue,Blue Sleepy Eyes,Small Smile,Black Horseskin,Pixie Cut,Butterfly,RARE
1488,879,Light Green,Green,Grey Dewy Eyes,Stuck Out Tongue,Blue Asymmetric Dress,Blonde Spacebuns,Elven Crown,RARE
1489,1530,Rainbow,Blue,Scarred Eyes,Confused,Shirtdress,Black Pullback,Bunny Ears,RARE
1490,1769,Graveyard,Green,Green Angry Eyes,Black Mask,Brown Brassiere,Brown Straight Bob,Leaf Crown,RARE
1491,6240,Light Turquoise,Yellow,Bug Eyes,Slightly Open,White Cape,Layered Purple,Butterfly,RARE
1492,4395,Up Only,Green,Blue Sleepy Eyes,Kissy Lips,Black Horseskin,Red Wavy,Butterfly,RARE
1493,6507,Light Pink,Yellow,Heart Eyes,Slightly Open,Red Elven Dress,Pixie Cut,Elven Crown,RARE
1494,497,Light Pink,Yellow,Heart Eyes,Slightly Open,Blue Dress,White Braid,Elven Crown,RARE
1495,782,Light Red,Blue,VeChain Visor,Slightly Open,Brown Cami,Red Wavy,Butterfly,RARE
1496,5541,Up Only,Blue,Eye Patch,Kissy Lips,Red Plunge Dress,Black Straight,Leaf Crown,RARE
1497,1885,Light Green,Blue,Blue Dewy Eyes,Pink Thin Lips,White Cami,Black Wavy,Leaf Crown,RARE
1498,1280,Greyish Blue,Blue,Blue Sleepy Eyes,Small Smile,Pink Brassiere,Black White Straight,Butterfly,RARE
1499,2474,Light Turquoise,Brown,Purple Eyes,Stuck Out Tongue,White Cape,Brown Straight Bob,Butterfly,RARE
1500,7084,Aftermath,Yellow,Purple Eyes,Confused,Blue Asymmetric Dress,Layered Purple,Bunny Ears,RARE
1501,1241,Aftermath,Green,Deal With It,Pink Thin Lips,White Asymmetric Dress,Black White Straight,Butterfly,RARE
1502,382,Graveyard,Blue,Heart Eyes,Slightly Open,Black Plunge Dress,Pixie Cut,Butterfly,RARE
1503,3599,Up Only,Green,Grey Dewy Eyes,Gritting Teeth,Brown Brassiere,Brown Wavy,Leaf Crown,RARE
1504,2536,Light Red,Green,Heart Eyes,Gritting Teeth,Pink Brassiere,Blonde Spacebuns,Leaf Crown,RARE
1505,466,Light Yellow,Green,Green Slanted Eyes,Big Grin,Fluffy White Offshoulder,Pink Short Tiedback,Butterfly,RARE
1506,2650,Graveyard,Peach,Crying Eyes,Upset,Shirtdress,Blonde Spacebuns,Bunny Ears,RARE
1507,2222,Light Green,Peach,Purple Eyes,Small Smile,Green Brassiere,Brown Straight Bob,Butterfly,RARE
1508,3101,Up Only,Green,Heart Eyes,Kissy Lips,Battle Armor,Brown Straight Bob,Butterfly,RARE
1509,362,Up Only,Yellow,Blue Dewy Eyes,Slightly Open,Red Elven Dress,Brown Spacebuns,Elven Crown,RARE
1510,1236,Light Orange,Blue,Heart Eyes,Black Mask,Brown Offshoulder,Red Straight,Butterfly,RARE
1511,718,Purple Clouds,Yellow,Blue Dewy Eyes,Kissy Lips,Shirtdress,Brown Spacebuns,Elven Crown,RARE
1512,6562,Up Only,Green,Rolled Eyes,Big Grin,Blue Asymmetric Dress,Pink Short Tiedback,Elven Crown,RARE
1513,1669,Up Only,Peach,Blue Dewy Eyes,Confused,Red Elven Dress,Red Straight,Leaf Crown,RARE
1514,1013,Light Purple,Peach,Fiery Eyes,Slightly Open,Red Plunge Dress,Black White Straight,Butterfly,RARE
1515,7579,Blue Clouds,Yellow,Grey Dewy Eyes,Small Smile,Red Elven Dress,Red Braid,Butterfly,RARE
1516,2095,Forest,Blue,Deal With It,Big Grin,Blue Asymmetric Dress,White Braid,Leaf Crown,RARE
1517,1541,Light Red,Peach,Purple Eyes,Kissy Lips,White Cami,White Braid,Elven Crown,RARE
1518,3953,Light Pink,Green,Green Angry Eyes,Gritting Teeth,Brown Cami,Blue Wavy Bob,Leaf Crown,RARE
1519,1874,Light Turquoise,Green,Fiery Eyes,Gritting Teeth,Blue Asymmetric Dress,Brown Wavy,Butterfly,RARE
1520,3693,Light Brown,Brown,Grey Dewy Eyes,Stuck Out Tongue,Pink Brassiere,Black White Straight,Butterfly,RARE
1521,5100,Aftermath,Blue,Icy Eyes,Pink Thin Lips,Shirtdress,Red Wavy,Elven Crown,RARE
1522,1144,Greyish Blue,Green,Eye Patch,Upset,Pink Brassiere,Blonde Spacebuns,Butterfly,RARE
1523,676,Light Red,Peach,Crying Eyes,Stuck Out Tongue,Red Plunge Dress,Pixie Cut,Leaf Crown,RARE
1524,416,Up Only,Peach,Blue Sleepy Eyes,Slightly Open,Brown Offshoulder,Red Braid,Butterfly,RARE
1525,6051,Aftermath,Yellow,Heart Eyes,Kissy Lips,Shirtdress,Pixie Cut,Bunny Ears,RARE
1526,7112,Light Pink,Blue,Grey Dewy Eyes,Small Smile,White Cami,Black Wavy,Butterfly,RARE
1527,1626,Forest,Brown,3D Glasses,Gritting Teeth,Brown Cami,White Braid,Butterfly,RARE
1528,640,Graveyard,Green,Deal With It,Small Smile,Pink Brassiere,Black Pullback,Butterfly,RARE
1529,1945,Aftermath,Yellow,Green Slanted Eyes,Stuck Out Tongue,Brown Horseskin,Black Pullback,Butterfly,RARE
1530,7528,Up Only,Blue,Scarred Eyes,Stuck Out Tongue,Pink Brassiere,Blonde Spacebuns,Leaf Crown,RARE
1531,2134,Aftermath,Peach,Bug Eyes,Small Smile,Shirtdress,Pink Short Tiedback,Leaf Crown,RARE
1532,2897,Light Blue,Green,Scarred Eyes,Shocked,Shirtdress,Red Wavy,Bunny Ears,RARE
1533,3227,Blue Clouds,Brown,Bug Eyes,Gritting Teeth,Pink Brassiere,Red Wavy,Butterfly,RARE
1534,721,Light Pink,Blue,Grey Dewy Eyes,Pink Thin Lips,Shirtdress,Pixie Cut,Elven Crown,RARE
1535,673,Graveyard,Blue,Deal With It,Pink Plump Lips,Red Elven Dress,Pink Short Tiedback,Butterfly,RARE
1536,5501,Light Red,Yellow,Heart Eyes,Kissy Lips,Black Plunge Dress,White Braid,Butterfly,RARE
1537,5053,Graveyard,Yellow,Green Angry Eyes,Pink Thin Lips,Brown Cami,Brown Straight Bob,Butterfly,RARE
1538,7394,Up Only,Peach,Icy Eyes,Gritting Teeth,Shirtdress,White Braid,VeChain Tiara,RARE
1539,6891,Light Brown,Green,Purple Eyes,Upset,Shirtdress,White Pullback,Diadem,RARE
1540,7467,Forest,Green,Blue Dewy Eyes,Small Smile,Checkered Brassiere,Blue Wavy Bob,Butterfly,RARE
1541,4545,Blue Clouds,Blue,Green Slanted Eyes,Stuck Out Tongue,Brown Cape,Layered Purple,Butterfly,RARE
1542,2730,Light Blue,Yellow,Bug Eyes,Pink Thin Lips,Red Plunge Dress,Brown Spacebuns,Elven Crown,RARE
1543,1579,Light Pink,Yellow,Eye Patch,Stuck Out Tongue,Brown Cami,Black Straight,Butterfly,RARE
1544,3781,Light Orange,Yellow,Green Angry Eyes,Upset,Brown Horseskin,White Braid,Butterfly,RARE
1545,4101,Up Only,Green,Green Slanted Eyes,Confused,Black with Chains,Black White Straight,Butterfly,RARE
1546,377,Purple Clouds,Yellow,Rolled Eyes,Big Grin,Shirtdress,Pixie Cut,Leaf Crown,RARE
1547,5471,Greyish Blue,Brown,Crying Eyes,Small Smile,Blue Asymmetric Dress,Black Pullback,Butterfly,RARE
1548,661,Blue Clouds,Brown,Scarred Eyes,Black Mask,Red Plunge Dress,Brown Straight Bob,Leaf Crown,RARE
1549,332,Light Red,Yellow,VeChain Visor,Kissy Lips,Brown Brassiere,Blue Wavy Bob,Elven Crown,RARE
1550,3533,Aftermath,Brown,VeChain Visor,Upset,Orange Brassiere,White Pullback,Butterfly,RARE
1551,4660,Light Brown,Yellow,Diamond Eyes,Kissy Lips,Shirtdress,Brown Spacebuns,Bunny Ears,RARE
